ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-391,Refugio County,Texas,31.36,-2.34,60,33.7
TX-393,Roberts County,Texas,23.1,2.14,90,20.96
TX-395,Robertson County,Texas,49.01,11.57,114,37.44
TX-397,Rockwall County,Texas,52.29,13.31,121,38.98
TX-399,Runnels County,Texas,25.86,2.05,84,23.81
TX-401,Rusk County,Texas,64.35,18.78,125,45.57
TX-403,Sabine County,Texas,71.56,19.58,125,51.98
TX-405,San Augustine County,Texas,71.91,21.34,128,50.57
TX-407,San Jacinto County,Texas,74.61,26.93,129,47.68
TX-409,San Patricio County,Texas,29.74,-0.83,70,30.57
TX-411,San Saba County,Texas,33.04,5.48,106,27.56
TX-413,Schleicher County,Texas,23.51,1.5,74,22.01
TX-415,Scurry County,Texas,17.67,-2.89,45,20.56
TX-417,Shackelford County,Texas,28.3,2.71,87,25.59
TX-419,Shelby County,Texas,70.75,21.71,128,49.04
TX-421,Sherman County,Texas,18.18,0.38,79,17.8
TX-423,Smith County,Texas,58.8,15.49,121,43.31
TX-425,Somervell County,Texas,52.63,21.44,126,31.19
TX-427,Starr County,Texas,21.28,1.15,77,20.13
TX-429,Stephens County,Texas,30.48,3.63,94,26.85
TX-431,Sterling County,Texas,16.89,-3.21,44,20.1
TX-433,Stonewall County,Texas,28.44,6.11,106,22.33
TX-435,Sutton County,Texas,23.03,0.55,71,22.48
TX-437,Swisher County,Texas,18.17,-1.71,57,19.88
TX-439,Tarrant County,Texas,43.89,10.42,112,33.47
TX-441,Taylor County,Texas,25.88,1.73,78,24.15
TX-443,Terrell County,Texas,10.64,-3,32,13.64
TX-445,Terry County,Texas,17.61,0.17,76,17.44
TX-447,Throckmorton County,Texas,29.45,3.37,92,26.08
TX-449,Titus County,Texas,56.38,11.34,114,45.04
TX-451,Tom Green County,Texas,21.58,-0.35,63,21.93
TX-453,Travis County,Texas,37.36,4.71,87,32.65
TX-455,Trinity County,Texas,73.82,27.16,129,46.66
TX-457,Tyler County,Texas,71.79,19.69,122,52.1
TX-459,Upshur County,Texas,61.13,16.73,125,44.4
TX-461,Upton County,Texas,10.91,-4.15,29,15.06
TX-463,Uvalde County,Texas,17.44,-7.96,23,25.4
TX-465,Val Verde County,Texas,11.89,-6.14,22,18.03
TX-467,Van Zandt County,Texas,62.42,21.19,127,41.23
TX-469,Victoria County,Texas,42.89,6.31,92,36.58
TX-471,Walker County,Texas,74.37,30.59,129,43.78
TX-473,Waller County,Texas,55.69,13.61,111,42.08
TX-475,Ward County,Texas,5.69,-5.91,9,11.6
TX-477,Washington County,Texas,51.54,12.6,111,38.94
TX-479,Webb County,Texas,18.4,-2.17,51,20.57
TX-481,Wharton County,Texas,54.32,12.89,107,41.43
TX-483,Wheeler County,Texas,23.28,-0.09,68,23.37
TX-485,Wichita County,Texas,33.13,5,96,28.13
TX-487,Wilbarger County,Texas,27.01,1.03,77,25.98
TX-489,Willacy County,Texas,27.07,2.04,83,25.03
TX-491,Williamson County,Texas,40.53,7.64,99,32.89
TX-493,Wilson County,Texas,30.49,0.72,72,29.77
TX-495,Winkler County,Texas,5.87,-6.54,10,12.41
TX-497,Wise County,Texas,40.15,7.89,104,32.26
TX-499,Wood County,Texas,63.45,21.11,127,42.34
TX-501,Yoakum County,Texas,12.82,-4,32,16.82
TX-503,Young County,Texas,31.65,3.93,94,27.72
TX-505,Zapata County,Texas,18.86,-0.03,67,18.89
TX-507,Zavala County,Texas,15.88,-6.29,25,22.17
UT-001,Beaver County,Utah,12.15,-0.42,62,12.57
UT-003,Box Elder County,Utah,13.78,1.77,101,12.01
UT-005,Cache County,Utah,31.97,4.02,103,27.95
UT-007,Carbon County,Utah,12.49,-2.24,42,14.73
UT-009,Daggett County,Utah,13.2,-1.9,35,15.1
UT-011,Davis County,Utah,28.48,3.14,96,25.34
UT-013,Duchesne County,Utah,15.86,-1.9,47,17.76
UT-015,Emery County,Utah,8.78,-0.62,55,9.4
UT-017,Garfield County,Utah,12.67,-0.36,61,13.03
UT-019,Grand County,Utah,10.41,-1.49,46,11.9
UT-021,Iron County,Utah,12.76,-1.79,44,14.55
UT-023,Juab County,Utah,10.98,-0.72,57,11.7
UT-025,Kane County,Utah,10.59,-1.57,43,12.16
UT-027,Millard County,Utah,10.31,0.46,83,9.85
UT-029,Morgan County,Utah,28.03,2,88,26.03
UT-031,Piute County,Utah,16.7,-0.26,65,16.96
UT-033,Rich County,Utah,17.87,1.14,89,16.73
UT-035,Salt Lake County,Utah,23.22,1.11,82,22.11
UT-037,San Juan County,Utah,9.37,-1.31,48,10.68
UT-039,Sanpete County,Utah,19.28,-0.24,77,19.52
UT-041,Sevier County,Utah,16.08,-0.22,67,16.3
UT-043,Summit County,Utah,26.37,-0.53,64,26.9
UT-045,Tooele County,Utah,9,-1.22,46,10.22
UT-047,Uintah County,Utah,10.32,-1.87,36,12.19
UT-049,Utah County,Utah,19.49,0.43,84,19.06
UT-051,Wasatch County,Utah,26.14,1.06,82,25.08
UT-053,Washington County,Utah,13.03,-2.09,45,15.12
UT-055,Wayne County,Utah,9.83,0.61,75,9.22
UT-057,Weber County,Utah,29.3,2.43,92,26.87
VT-001,Addison County,Vermont,48.89,10.62,119,38.27
VT-003,Bennington County,Vermont,56.26,10.61,117,45.65
VT-005,Caledonia County,Vermont,54.33,13.93,125,40.4
VT-007,Chittenden County,Vermont,48.88,10.54,119,38.34
VT-009,Essex County,Vermont,55.04,13.11,124,41.93
VT-011,Franklin County,Vermont,52.05,10.29,118,41.76
VT-013,Grand Isle County,Vermont,44.4,9.68,124,34.72
VT-015,Lamoille County,Vermont,55.24,11.63,119,43.61
VT-017,Orange County,Vermont,46.88,7.51,111,39.37
VT-019,Orleans County,Vermont,57.95,14.4,124,43.55
VT-021,Rutland County,Vermont,45.81,4.66,99,41.15
VT-023,Washington County,Vermont,50.61,10.11,116,40.5
VT-025,Windham County,Vermont,54.49,8.3,112,46.19
VT-027,Windsor County,Vermont,47.88,5.95,109,41.93
VA-001,Accomack County,Virginia,46.85,5.02,99,41.83
VA-003,Albemarle County,Virginia,42.02,-0.49,56,42.51
VA-005,Alleghany County,Virginia,37.81,-2.28,38,40.09
VA-007,Amelia County,Virginia,50.66,7.55,107,43.11
VA-009,Amherst County,Virginia,43.72,-0.97,54,44.69
VA-011,Appomattox County,Virginia,47.81,5.72,98,42.09
VA-013,Arlington County,Virginia,43.91,2.22,80,41.69
VA-015,Augusta County,Virginia,39.74,-0.44,55,40.18
VA-017,Bath County,Virginia,38.75,-2.95,35,41.7
VA-019,Bedford County,Virginia,42.66,-0.8,60,43.46
VA-021,Bland County,Virginia,36.92,-4.19,31,41.11
VA-023,Botetourt County,Virginia,38.16,-3.31,34,41.47
VA-025,Brunswick County,Virginia,50.95,6.61,108,44.34
VA-027,Buchanan County,Virginia,39.49,-5.26,22,44.75
VA-029,Buckingham County,Virginia,49.28,6.77,107,42.51
VA-031,Campbell County,Virginia,46.13,4.03,90,42.1
VA-033,Caroline County,Virginia,46.28,3.55,94,42.73
VA-035,Carroll County,Virginia,44.89,-0.96,57,45.85
VA-036,Charles City County,Virginia,55.47,11.81,123,43.66
VA-037,Charlotte County,Virginia,51.87,9.35,113,42.52
VA-041,Chesterfield County,Virginia,53.39,10.18,119,43.21
VA-043,Clarke County,Virginia,43.27,5.28,102,37.99
VA-045,Craig County,Virginia,36.8,-4.35,29,41.15
VA-047,Culpeper County,Virginia,39.27,-1.43,52,40.7
VA-049,Cumberland County,Virginia,50.87,8.09,109,42.78
VA-051,Dickenson County,Virginia,39.89,-4.13,30,44.02
VA-053,Dinwiddie County,Virginia,52.2,8.51,116,43.69
VA-057,Essex County,Virginia,50.8,7.69,113,43.11
VA-059,Fairfax County,Virginia,42.33,1.29,75,41.04
VA-061,Fauquier County,Virginia,41.13,0.96,75,40.17
VA-063,Floyd County,Virginia,42.61,-2.48,48,45.09
VA-065,Fluvanna County,Virginia,46.93,4.56,94,42.37
VA-067,Franklin County,Virginia,41.25,-2.15,46,43.4
VA-069,Frederick County,Virginia,42.25,5.34,105,36.91
VA-071,Giles County,Virginia,34.47,-6.36,18,40.83
VA-073,Gloucester County,Virginia,52.71,8.52,112,44.19
VA-075,Goochland County,Virginia,51.73,8.95,112,42.78
VA-077,Grayson County,Virginia,44.85,-0.72,53,45.57
VA-079,Greene County,Virginia,40.79,-2,48,42.79
VA-081,Greensville County,Virginia,51.88,7.1,106,44.78
VA-083,Halifax County,Virginia,51.95,8.89,115,43.06
VA-085,Hanover County,Virginia,52.41,9.31,115,43.1
VA-087,Henrico County,Virginia,54.72,11.54,121,43.18
VA-089,Henry County,Virginia,44.45,-0.63,62,45.08
VA-091,Highland County,Virginia,37.78,-6.04,21,43.82
VA-093,Isle of Wight County,Virginia,54.29,8.15,110,46.14
VA-095,James City County,Virginia,54.35,9.91,114,44.44
VA-097,King and Queen County,Virginia,52.07,8.31,116,43.76
VA-099,King George County,Virginia,40.26,-1.62,51,41.88
VA-101,King William County,Virginia,52.56,9.03,116,43.53
VA-103,Lancaster County,Virginia,50.69,7.05,107,43.64
VA-105,Lee County,Virginia,46.82,-3.5,41,50.32
VA-107,Loudoun County,Virginia,42.28,2.21,83,40.07
VA-109,Louisa County,Virginia,46.54,3.7,89,42.84
VA-111,Lunenburg County,Virginia,53.52,10.31,120,43.21
VA-113,Madison County,Virginia,40.53,-1.33,52,41.86
VA-115,Mathews County,Virginia,51.61,7.87,111,43.74
VA-117,Mecklenburg County,Virginia,53.46,9.69,117,43.77
VA-119,Middlesex County,Virginia,51.5,7.66,112,43.84
VA-121,Montgomery County,Virginia,35,-5.31,22,40.31
VA-125,Nelson County,Virginia,44.77,0.46,64,44.31
VA-127,New Kent County,Virginia,54.14,10.25,121,43.89
VA-131,Northampton County,Virginia,48.62,6.28,106,42.34
VA-133,Northumberland County,Virginia,48.45,5.41,98,43.04
VA-135,Nottoway County,Virginia,50.73,7.49,111,43.24
VA-137,Orange County,Virginia,41.5,-0.47,66,41.97
VA-139,Page County,Virginia,40.46,0.97,74,39.49
VA-141,Patrick County,Virginia,48.86,-0.72,60,49.58
VA-143,Pittsylvania County,Virginia,47.73,4.6,93,43.13
VA-145,Powhatan County,Virginia,52.27,9.4,113,42.87
VA-147,Prince Edward County,Virginia,50.62,7.97,112,42.65
VA-149,Prince George County,Virginia,55.39,11.77,122,43.62
VA-153,Prince William County,Virginia,39.97,-0.59,67,40.56
VA-155,Pulaski County,Virginia,35.18,-4.55,28,39.73
VA-157,Rappahannock County,Virginia,39.65,0.26,64,39.39
VA-159,Richmond County,Virginia,50.91,7.8,113,43.11
VA-161,Roanoke County,Virginia,37.71,-4.1,30,41.81
VA-163,Rockbridge County,Virginia,40.48,-0.97,51,41.45
VA-165,Rockingham County,Virginia,41.63,2.54,84,39.09
VA-167,Russell County,Virginia,38.85,-5.75,20,44.6
VA-169,Scott County,Virginia,42.5,-4.55,29,47.05
VA-171,Shenandoah County,Virginia,39.52,3.29,91,36.23
VA-173,Smyth County,Virginia,40.04,-4.88,26,44.92
VA-175,Southampton County,Virginia,52.35,6.16,104,46.19
VA-177,Spotsylvania County,Virginia,41.37,-1.1,57,42.47
VA-179,Stafford County,Virginia,37.93,-3.44,39,41.37
VA-181,Surry County,Virginia,54.99,10.4,117,44.59
VA-183,Sussex County,Virginia,53.66,9.01,113,44.65
VA-185,Tazewell County,Virginia,40.32,-5.01,27,45.33
VA-187,Warren County,Virginia,41.96,5,97,36.96
VA-191,Washington County,Virginia,39.44,-5.3,24,44.74
VA-193,Westmoreland County,Virginia,47.88,5.44,102,42.44
VA-195,Wise County,Virginia,44.08,-3.45,38,47.53
VA-197,Wythe County,Virginia,35.87,-4.37,30,40.24
VA-199,York County,Virginia,53.55,9.04,111,44.51
VA-510,Alexandria City,Virginia,43.62,2.17,80,41.45
VA-520,Bristol City,Virginia,39.75,-4.79,28,44.54
VA-530,Buena Vista City,Virginia,39.98,-1.64,51,41.62
VA-540,Charlottesville City,Virginia,42.09,-0.86,54,42.95
VA-550,Chesapeake City,Virginia,54.19,7.53,108,46.66
VA-570,Colonial Heights City,Virginia,55.5,12.42,121,43.08
VA-580,Covington City,Virginia,35.93,-2.67,36,38.6
VA-590,Danville City,Virginia,50.74,7.65,110,43.09
VA-595,Emporia City,Virginia,52.27,7.56,106,44.71
VA-600,Fairfax City,Virginia,43.01,1.7,75,41.31
VA-610,Falls Church City,Virginia,43.68,1.83,80,41.85
VA-620,Franklin City,Virginia,52.92,5.83,102,47.09
VA-630,Fredericksburg City,Virginia,38.63,-3.15,41,41.78
VA-640,Galax City,Virginia,43.97,-0.39,60,44.36
VA-650,Hampton City,Virginia,51.75,7.31,108,44.44
VA-660,Harrisonburg City,Virginia,40.35,2.57,83,37.78
VA-670,Hopewell City,Virginia,57.04,13.78,123,43.26
VA-680,Lynchburg City,Virginia,43.65,1.21,69,42.44
VA-683,Manassas City,Virginia,40.14,0.04,69,40.1
VA-685,Manassas Park City,Virginia,40.38,0.04,70,40.34
VA-690,Martinsville City,Virginia,43.98,-0.84,60,44.82
VA-700,Newport News City,Virginia,53.03,8.03,109,45
VA-710,Norfolk City,Virginia,51.53,6.49,105,45.05
VA-720,Norton City,Virginia,44.35,-2.6,43,46.95
VA-730,Petersburg City,Virginia,55.32,11.95,122,43.37
VA-735,Poquoson City,Virginia,51.8,7.84,111,43.96
VA-740,Portsmouth City,Virginia,52.64,6.87,106,45.77
VA-750,Radford City,Virginia,33.84,-5.42,22,39.26
VA-760,Richmond City,Virginia,54.36,11.27,121,43.09
VA-770,Roanoke City,Virginia,37.38,-3.84,34,41.22
VA-775,Salem City,Virginia,37.05,-3.92,31,40.97
VA-790,Staunton City,Virginia,37.45,0.01,57,37.44
VA-800,Suffolk City,Virginia,54.63,7.31,109,47.32
VA-810,Virginia Beach City,Virginia,51.61,6.25,106,45.36
VA-820,Waynesboro City,Virginia,39.04,-0.27,54,39.31
VA-830,Williamsburg City,Virginia,54.75,10.09,115,44.67
VA-840,Winchester City,Virginia,43.38,6.02,108,37.36
WA-001,Adams County,Washington,9.92,-0.92,46,10.84
WA-003,Asotin County,Washington,14.28,-2.96,22,17.24
WA-005,Benton County,Washington,8.65,0.51,81,8.14
WA-007,Chelan County,Washington,30.93,-6.26,22,37.19
WA-009,Clallam County,Washington,81.34,-6.75,44,88.09
WA-011,Clark County,Washington,70.87,5.05,94,65.82
WA-013,Columbia County,Washington,21.95,-4.85,19,26.8
WA-015,Cowlitz County,Washington,82.78,6.18,92,76.6
WA-017,Douglas County,Washington,10.23,-1.19,41,11.42
WA-019,Ferry County,Washington,18.09,-0.9,46,18.99
WA-021,Franklin County,Washington,9.14,0.03,64,9.11
WA-023,Garfield County,Washington,16.8,-2.71,27,19.51
WA-025,Grant County,Washington,6.79,-1.5,32,8.29
WA-027,Grays Harbor County,Washington,92.61,-2.71,56,95.32
WA-029,Island County,Washington,27.28,1.24,78,26.04
WA-031,Jefferson County,Washington,99.49,-8.07,44,107.56
WA-033,King County,Washington,70.06,-2.85,51,72.91
WA-035,Kitsap County,Washington,41.7,-0.44,58,42.14
WA-037,Kittitas County,Washington,27.14,-6.03,22,33.17
WA-039,Klickitat County,Washington,22.29,-0.23,68,22.52
WA-041,Lewis County,Washington,73.03,0.92,66,72.11
WA-043,Lincoln County,Washington,10.96,-2.05,29,13.01
WA-045,Mason County,Washington,87.39,-0.85,62,88.24
WA-047,Okanogan County,Washington,20.59,-2.08,34,22.67
WA-049,Pacific County,Washington,88.69,-1.16,65,89.85
WA-051,Pend Oreille County,Washington,32.58,-1.45,47,34.03
WA-053,Pierce County,Washington,61.19,-2.44,49,63.63
WA-055,San Juan County,Washington,31.16,2.76,94,28.4
WA-057,Skagit County,Washington,69.58,-6.87,40,76.45
WA-059,Skamania County,Washington,96.46,5.63,82,90.83
WA-061,Snohomish County,Washington,78.46,-2.68,55,81.14
WA-063,Spokane County,Washington,17.63,-2.45,29,20.08
WA-065,Stevens County,Washington,21.45,-1.25,47,22.7
WA-067,Thurston County,Washington,50.35,-0.27,62,50.62
WA-069,Wahkiakum County,Washington,80.43,-2.69,59,83.12
WA-071,Walla Walla County,Washington,13.41,-1.31,41,14.72
WA-073,Whatcom County,Washington,65.43,-2.89,49,68.32
WA-075,Whitman County,Washington,15.73,-1.6,36,17.33
WA-077,Yakima County,Washington,23.15,-2.98,33,26.13
WV-001,Barbour County,West Virginia,43.12,-4.54,29,47.66
WV-003,Berkeley County,West Virginia,43.31,5.58,112,37.73
WV-005,Boone County,West Virginia,37.37,-8.64,11,46.01
WV-007,Braxton County,West Virginia,37.54,-9.18,9,46.72
WV-009,Brooke County,West Virginia,37.07,-2.4,42,39.47
WV-011,Cabell County,West Virginia,35.55,-7.05,16,42.6
WV-013,Calhoun County,West Virginia,34.68,-10.29,8,44.97
WV-015,Clay County,West Virginia,38.69,-7.61,14,46.3
WV-017,Doddridge County,West Virginia,42.4,-3,40,45.4
WV-019,Fayette County,West Virginia,41.52,-5.3,21,46.82
WV-021,Gilmer County,West Virginia,36.01,-9.87,7,45.88
WV-023,Grant County,West Virginia,37.5,-0.75,56,38.25
WV-025,Greenbrier County,West Virginia,41.2,-3.31,34,44.51
WV-027,Hampshire County,West Virginia,39.08,2.59,93,36.49
WV-029,Hancock County,West Virginia,40.25,2.04,82,38.21
WV-031,Hardy County,West Virginia,39.61,2.07,83,37.54
WV-033,Harrison County,West Virginia,41.61,-2.88,40,44.49
WV-035,Jackson County,West Virginia,34.03,-8.6,9,42.63
WV-037,Jefferson County,West Virginia,43.41,4.77,104,38.64
WV-039,Kanawha County,West Virginia,39.82,-5.15,28,44.97
WV-041,Lewis County,West Virginia,40,-7.16,16,47.16
WV-043,Lincoln County,West Virginia,36.69,-7.44,15,44.13
WV-045,Logan County,West Virginia,36.52,-9.8,9,46.32
WV-047,McDowell County,West Virginia,37.77,-6.82,17,44.59
WV-049,Marion County,West Virginia,42.57,-1.24,52,43.81
WV-051,Marshall County,West Virginia,43.54,0.72,69,42.82
WV-053,Mason County,West Virginia,32.79,-8.76,4,41.55
WV-055,Mercer County,West Virginia,35.14,-6.15,21,41.29
WV-057,Mineral County,West Virginia,37.97,1.84,81,36.13
WV-059,Mingo County,West Virginia,38.12,-7.35,13,45.47
WV-061,Monongalia County,West Virginia,44.36,0.75,69,43.61
WV-063,Monroe County,West Virginia,36.25,-4.34,29,40.59
WV-065,Morgan County,West Virginia,41.85,4.7,105,37.15
WV-067,Nicholas County,West Virginia,42.28,-6.9,19,49.18
WV-069,Ohio County,West Virginia,38.74,-1.99,45,40.73
WV-071,Pendleton County,West Virginia,38.11,-1.16,49,39.27
WV-073,Pleasants County,West Virginia,40.98,-2.05,47,43.03
WV-075,Pocahontas County,West Virginia,41.86,-7.16,17,49.02
WV-077,Preston County,West Virginia,48.38,-0.85,54,49.23
WV-079,Putnam County,West Virginia,36.1,-7.06,18,43.16
WV-081,Raleigh County,West Virginia,38.72,-6.67,23,45.39
WV-083,Randolph County,West Virginia,46.26,-7.41,16,53.67
WV-085,Ritchie County,West Virginia,39.61,-4.82,31,44.43
WV-087,Roane County,West Virginia,34.91,-9.14,10,44.05
WV-089,Summers County,West Virginia,35.1,-5.33,24,40.43
WV-091,Taylor County,West Virginia,42.93,-2.02,43,44.95
WV-093,Tucker County,West Virginia,46.47,-4.13,35,50.6
WV-095,Tyler County,West Virginia,43.35,-0.64,55,43.99
WV-097,Upshur County,West Virginia,42.99,-8.42,13,51.41
WV-099,Wayne County,West Virginia,37.77,-6.1,18,43.87
WV-101,Webster County,West Virginia,44.48,-10.22,11,54.7
WV-103,Wetzel County,West Virginia,45.27,0.38,64,44.89
WV-105,Wirt County,West Virginia,35.38,-8.02,12,43.4
WV-107,Wood County,West Virginia,36.08,-5.42,26,41.5
WV-109,Wyoming County,West Virginia,36.81,-9.91,8,46.72
WI-001,Adams County,Wisconsin,41.54,10,123,31.54
WI-003,Ashland County,Wisconsin,33.64,1.76,83,31.88
WI-005,Barron County,Wisconsin,37.9,6.68,114,31.22
WI-007,Bayfield County,Wisconsin,34.66,4.56,106,30.1
WI-009,Brown County,Wisconsin,36.19,6.27,114,29.92
WI-011,Buffalo County,Wisconsin,41.93,10.68,124,31.25
WI-013,Burnett County,Wisconsin,38.77,9.05,125,29.72
WI-015,Calumet County,Wisconsin,40.33,10.17,123,30.16
WI-017,Chippewa County,Wisconsin,38.26,6.15,111,32.11
WI-019,Clark County,Wisconsin,42.1,10.24,123,31.86
WI-021,Columbia County,Wisconsin,41.45,10.27,121,31.18
WI-023,Crawford County,Wisconsin,39.09,6.26,109,32.83
WI-025,Dane County,Wisconsin,45.63,13.2,127,32.43
WI-027,Dodge County,Wisconsin,43.47,12.56,127,30.91
WI-029,Door County,Wisconsin,32.71,2.97,96,29.74
WI-031,Douglas County,Wisconsin,34.76,5.12,110,29.64
WI-033,Dunn County,Wisconsin,39.32,8.11,119,31.21
WI-035,Eau Claire County,Wisconsin,40.07,8.13,118,31.94
WI-037,Florence County,Wisconsin,28.7,-0.81,57,29.51
WI-039,Fond du Lac County,Wisconsin,39.54,9.14,122,30.4
WI-041,Forest County,Wisconsin,33.04,2.51,89,30.53
WI-043,Grant County,Wisconsin,40.56,7.62,115,32.94
WI-045,Green County,Wisconsin,44.62,11.04,124,33.58
WI-047,Green Lake County,Wisconsin,38.61,7.76,118,30.85
WI-049,Iowa County,Wisconsin,41.35,8.63,117,32.72
WI-051,Iron County,Wisconsin,34.21,1.17,79,33.04
WI-053,Jackson County,Wisconsin,42.79,11.01,122,31.78
WI-055,Jefferson County,Wisconsin,44.47,12.48,126,31.99
WI-057,Juneau County,Wisconsin,40.14,8.44,119,31.7
WI-059,Kenosha County,Wisconsin,43.38,11.12,123,32.26
WI-061,Kewaunee County,Wisconsin,33.83,3.97,107,29.86
WI-063,La Crosse County,Wisconsin,39.5,7.72,108,31.78
WI-065,Lafayette County,Wisconsin,43.95,10.29,120,33.66
WI-067,Langlade County,Wisconsin,37.6,5.82,116,31.78
WI-069,Lincoln County,Wisconsin,36.5,5.13,110,31.37
WI-071,Manitowoc County,Wisconsin,36.4,6.39,114,30.01
WI-073,Marathon County,Wisconsin,42.58,11.04,127,31.54
WI-075,Marinette County,Wisconsin,30.92,1.54,82,29.38
WI-077,Marquette County,Wisconsin,38.38,7.52,115,30.86
WI-078,Menominee County,Wisconsin,36.39,5.33,112,31.06
WI-079,Milwaukee County,Wisconsin,43.15,12.15,127,31
WI-081,Monroe County,Wisconsin,38.94,6.78,114,32.16
WI-083,Oconto County,Wisconsin,33.84,3.93,109,29.91
WI-085,Oneida County,Wisconsin,34.28,3.28,94,31
WI-087,Outagamie County,Wisconsin,40.69,10.23,124,30.46
WI-089,Ozaukee County,Wisconsin,39.94,9.6,124,30.34
WI-091,Pepin County,Wisconsin,40.86,10.03,121,30.83
WI-093,Pierce County,Wisconsin,41.4,10.71,125,30.69
WI-095,Polk County,Wisconsin,41.4,11.08,129,30.32
WI-097,Portage County,Wisconsin,45.45,13.91,129,31.55
WI-099,Price County,Wisconsin,33.44,1.1,81,32.34
WI-101,Racine County,Wisconsin,43.19,11.33,123,31.86
WI-103,Richland County,Wisconsin,38.8,6.46,110,32.34
WI-105,Rock County,Wisconsin,46.42,13.39,127,33.03
WI-107,Rusk County,Wisconsin,35.58,3.93,101,31.65
WI-109,St. Croix County,Wisconsin,40.38,9.9,126,30.48
WI-111,Sauk County,Wisconsin,38.99,6.96,114,32.03
WI-113,Sawyer County,Wisconsin,35.21,4.06,95,31.15
WI-115,Shawano County,Wisconsin,38.21,7.18,121,31.03
WI-117,Sheboygan County,Wisconsin,38.69,8.56,121,30.13
WI-119,Taylor County,Wisconsin,39.04,6.8,117,32.24
WI-121,Trempealeau County,Wisconsin,43,11.33,124,31.67
WI-123,Vernon County,Wisconsin,38.19,5.33,102,32.86
WI-125,Vilas County,Wisconsin,32.77,0.96,74,31.81
WI-127,Walworth County,Wisconsin,45.83,12.46,126,33.37
WI-129,Washburn County,Wisconsin,35.53,5.26,105,30.27
WI-131,Washington County,Wisconsin,41.99,10.98,127,31.01
WI-133,Waukesha County,Wisconsin,44.1,12.25,128,31.85
WI-135,Waupaca County,Wisconsin,43.61,12.63,128,30.98
WI-137,Waushara County,Wisconsin,42.52,11.16,127,31.36
WI-139,Winnebago County,Wisconsin,40.33,10.12,125,30.21
WI-141,Wood County,Wisconsin,44.72,13.44,128,31.28
WY-001,Albany County,Wyoming,13.18,-1.9,31,15.08
WY-003,Big Horn County,Wyoming,13.77,0.29,82,13.48
WY-005,Campbell County,Wyoming,12.71,-1.33,44,14.04
WY-007,Carbon County,Wyoming,14.78,-1.17,46,15.95
WY-009,Converse County,Wyoming,12.79,-1.61,43,14.4
WY-011,Crook County,Wyoming,15.42,-1.94,35,17.36
WY-013,Fremont County,Wyoming,13.42,-1.22,38,14.64
WY-015,Goshen County,Wyoming,12.16,-2.61,27,14.77
WY-017,Hot Springs County,Wyoming,14.31,1.06,84,13.25
WY-019,Johnson County,Wyoming,15.24,-0.03,67,15.27
WY-021,Laramie County,Wyoming,12.22,-3.51,18,15.73
WY-023,Lincoln County,Wyoming,20.17,0.36,71,19.81
WY-025,Natrona County,Wyoming,11.42,-1.04,43,12.46
WY-027,Niobrara County,Wyoming,14.79,-0.4,61,15.19
WY-029,Park County,Wyoming,22.05,0.26,70,21.79
WY-031,Platte County,Wyoming,11.62,-2.61,25,14.23
WY-033,Sheridan County,Wyoming,18.16,-1.2,53,19.36
WY-035,Sublette County,Wyoming,16.4,-2.48,34,18.88
WY-037,Sweetwater County,Wyoming,9.03,-0.4,57,9.43
WY-039,Teton County,Wyoming,32.92,-1.61,56,34.53
WY-041,Uinta County,Wyoming,13.64,0.94,84,12.7
WY-043,Washakie County,Wyoming,13.76,1.54,88,12.22
WY-045,Weston County,Wyoming,12.12,-2.59,25,14.71
